time,cpu,mem,storage
1686840379,0.00,271,1485
1686840380,0.00,271,1485
1686840381,0.00,271,1485
1686840382,0.00,271,1485
1686840384,0.00,271,1485
1686840385,0.00,271,1485
1686840386,0.00,271,1485
1686840387,0.00,271,1485
1686840388,0.00,271,1485
1686840389,0.00,271,1485
1686840391,0.00,271,1485
1686840392,0.00,271,1485
1686840393,6.70,271,1485
1686840394,0.00,271,1485
1686840395,0.00,271,1485
1686840396,0.00,271,1485
1686840398,0.00,271,1485
1686840399,0.00,271,1485
1686840400,0.00,271,1485
1686840401,0.00,271,1485
1686840402,0.00,271,1485
1686840403,0.00,271,1485
1686840405,0.00,271,1485
1686840406,0.00,271,1485
1686840407,0.00,271,1485
1686840408,0.00,271,1485
1686840409,0.00,271,1485
1686840410,0.00,271,1485
1686840412,0.00,271,1485
1686840413,0.00,271,1485
1686840414,0.00,271,1485
1686840415,0.00,271,1485
1686840416,0.00,271,1485
1686840417,0.00,271,1485
1686840419,0.00,271,1485
1686840420,0.00,271,1485
1686840421,0.00,271,1485
1686840422,0.00,271,1485
1686840423,0.00,271,1485
1686840424,0.00,271,1485
1686840426,0.00,271,1485
1686840427,0.00,271,1485
1686840428,0.00,271,1485
1686840429,0.00,271,1485
1686840430,0.00,271,1485
1686840431,6.70,271,1485
1686840433,0.00,271,1485
1686840434,0.00,271,1485
1686840435,0.00,271,1485
1686840436,0.00,271,1485
1686840437,0.00,271,1485
1686840438,6.70,271,1485
1686840440,0.00,271,1485
1686840441,0.00,271,1485
1686840442,0.00,271,1485
1686840443,0.00,271,1485
1686840444,0.00,271,1485
1686840445,0.00,271,1485
1686840447,0.00,271,1485
1686840448,0.00,271,1485
1686840449,0.00,271,1485
1686840450,0.00,271,1485
1686840451,0.00,271,1485
1686840452,0.00,271,1485
1686840454,0.00,271,1485
1686840455,0.00,271,1485
1686840456,0.00,271,1485
1686840457,0.00,271,1485
1686840458,0.00,271,1485
1686840460,0.00,271,1485
1686840461,0.00,271,1485
1686840462,0.00,271,1485
1686840463,6.70,271,1485
1686840464,0.00,271,1485
1686840465,0.00,271,1485
1686840467,0.00,271,1485
1686840468,0.00,271,1485
1686840469,0.00,271,1485
1686840470,0.00,271,1485
1686840471,0.00,271,1485
1686840472,0.00,271,1485
1686840474,0.00,271,1485
1686840475,0.00,271,1485
1686840476,0.00,271,1485
1686840477,0.00,271,1485
1686840478,0.00,271,1485
1686840479,0.00,271,1485
1686840481,0.00,271,1485
1686840482,0.00,271,1485
1686840483,0.00,271,1485
1686840484,0.00,271,1485
1686840485,0.00,271,1485
1686840486,0.00,271,1485
1686840488,0.00,271,1485
1686840489,0.00,271,1485
1686840490,0.00,271,1485
1686840491,0.00,271,1485
1686840492,0.00,271,1485
1686840493,0.00,271,1485
1686840495,0.00,271,1485
1686840496,0.00,271,1485
1686840497,0.00,271,1485
1686840498,0.00,271,1485
1686840499,0.00,271,1485
1686840500,0.00,271,1485
1686840502,6.70,271,1485
1686840503,0.00,271,1485
1686840504,0.00,271,1485
1686840505,0.00,271,1485
1686840506,0.00,271,1485
1686840507,0.00,271,1485
1686840509,0.00,271,1485
1686840510,0.00,271,1485
1686840511,0.00,271,1485
1686840512,0.00,271,1485
1686840513,0.00,271,1485
1686840514,0.00,271,1485
1686840516,0.00,271,1485
1686840517,0.00,271,1485
1686840518,0.00,271,1485
1686840519,0.00,271,1485
1686840520,0.00,271,1485
1686840521,0.00,271,1485
1686840523,0.00,271,1485
1686840524,0.00,271,1485
1686840525,0.00,271,1485
1686840526,0.00,271,1485
1686840527,0.00,271,1485
1686840528,0.00,271,1485
1686840530,6.70,271,1485
1686840531,0.00,271,1485
1686840532,0.00,271,1485
1686840533,0.00,271,1485
1686840534,0.00,271,1485
1686840535,0.00,271,1485
1686840537,6.20,271,1485
1686840538,0.00,271,1485
1686840539,0.00,271,1485
1686840540,0.00,271,1485
1686840541,0.00,271,1485
1686840542,0.00,271,1485
1686840544,0.00,271,1485
1686840545,0.00,271,1485
1686840546,0.00,271,1485
1686840547,0.00,271,1485
1686840548,0.00,271,1485
1686840549,0.00,271,1485
1686840551,0.00,271,1485
1686840552,0.00,271,1485
1686840553,0.00,271,1485
1686840554,0.00,271,1485
1686840555,0.00,271,1485
1686840556,0.00,271,1485
1686840558,0.00,271,1485
1686840559,0.00,271,1485
1686840560,0.00,271,1485
1686840561,0.00,271,1485
1686840562,0.00,271,1485
1686840563,0.00,271,1485
1686840565,0.00,271,1485
1686840566,0.00,271,1485
1686840567,0.00,271,1485
1686840568,0.00,271,1485
1686840569,0.00,271,1485
1686840570,0.00,271,1485
1686840572,0.00,271,1485
1686840573,0.00,271,1485
1686840574,0.00,271,1485
1686840575,0.00,271,1485
1686840576,0.00,271,1485
1686840578,0.00,271,1485
1686840579,0.00,271,1485
1686840580,0.00,271,1485
1686840581,0.00,271,1485
1686840582,0.00,271,1485
1686840583,0.00,271,1485
1686840585,0.00,271,1485
1686840586,0.00,271,1485
1686840587,0.00,271,1485
1686840588,0.00,271,1485
1686840589,0.00,271,1485
1686840590,0.00,271,1485
1686840592,0.00,271,1485
1686840593,0.00,271,1485
1686840594,0.00,271,1485
1686840595,0.00,271,1485
1686840596,0.00,271,1485
1686840597,0.00,271,1485
1686840599,0.00,271,1485
1686840600,0.00,271,1485
1686840601,0.00,271,1485
1686840602,0.00,271,1485
1686840603,0.00,271,1485
1686840604,0.00,271,1485
1686840606,0.00,271,1485
1686840607,0.00,271,1485
1686840608,0.00,271,1485
1686840609,0.00,271,1485
1686840610,0.00,271,1485
1686840611,25.00,271,1485
1686840613,0.00,271,1485
1686840614,0.00,271,1485
1686840615,0.00,271,1485
1686840616,0.00,271,1485
1686840617,0.00,271,1485
1686840618,6.70,271,1485
1686840620,0.00,271,1485
1686840621,0.00,271,1485
1686840622,6.70,271,1485
1686840623,0.00,271,1485
1686840624,0.00,271,1485
1686840625,0.00,271,1485
1686840627,0.00,271,1485
1686840628,0.00,271,1485
1686840629,0.00,271,1485
1686840630,0.00,271,1485
1686840631,0.00,271,1485
1686840632,0.00,271,1485
1686840634,0.00,271,1485
1686840635,0.00,271,1485
1686840636,0.00,271,1485
1686840637,0.00,271,1485
1686840638,0.00,271,1485
1686840639,0.00,271,1485
1686840641,6.70,271,1485
1686840642,0.00,271,1485
1686840643,0.00,271,1485
1686840644,0.00,271,1485
1686840645,0.00,271,1485
1686840646,0.00,271,1485
1686840648,0.00,271,1485
1686840649,0.00,271,1485
1686840650,0.00,271,1485
1686840651,0.00,271,1485
1686840652,0.00,271,1485
1686840653,0.00,271,1485
1686840655,0.00,271,1485
1686840656,0.00,271,1485
1686840657,0.00,271,1485
1686840658,0.00,271,1485
1686840659,0.00,271,1485
1686840660,0.00,271,1485
1686840662,0.00,271,1485
1686840663,0.00,271,1485
1686840664,0.00,271,1485
1686840665,0.00,271,1485
1686840666,0.00,271,1485
1686840667,0.00,271,1485
1686840669,0.00,271,1485
1686840670,0.00,271,1485
1686840671,0.00,271,1485
1686840672,0.00,271,1485
1686840673,0.00,271,1485
1686840674,0.00,271,1485
1686840676,6.70,271,1485
1686840677,0.00,271,1485
1686840678,0.00,271,1485
1686840679,0.00,271,1485
1686840680,0.00,271,1485
1686840681,0.00,271,1485
1686840683,0.00,271,1485
1686840684,0.00,271,1485
1686840685,0.00,271,1485
1686840686,0.00,271,1485
1686840687,0.00,271,1485
1686840689,0.00,271,1485
1686840690,0.00,271,1485
1686840691,0.00,271,1485
1686840692,0.00,271,1485
1686840693,0.00,271,1485
1686840694,0.00,271,1485
1686840696,0.00,271,1485
1686840697,0.00,271,1485
1686840698,0.00,271,1485
1686840699,0.00,271,1485
1686840700,0.00,271,1485
1686840701,0.00,271,1485
1686840703,0.00,271,1485
1686840704,0.00,271,1485
1686840705,0.00,271,1485
1686840706,0.00,271,1485
1686840707,0.00,271,1485
1686840708,0.00,271,1485
1686840710,0.00,271,1485
1686840711,0.00,271,1485
1686840712,0.00,271,1485
1686840713,0.00,271,1485
1686840714,0.00,271,1485
1686840715,0.00,271,1485
1686840717,0.00,271,1485
1686840718,0.00,271,1485
1686840719,0.00,271,1485
1686840720,0.00,271,1485
1686840721,0.00,271,1485
1686840722,0.00,271,1485
1686840724,0.00,271,1485
1686840725,0.00,271,1485
1686840726,0.00,271,1485
1686840727,0.00,271,1485
1686840728,0.00,271,1485
1686840729,0.00,271,1485
1686840731,0.00,271,1485
1686840732,0.00,271,1485
1686840733,0.00,271,1485
1686840734,0.00,271,1485
1686840735,0.00,271,1485
1686840736,0.00,271,1485
1686840738,0.00,271,1485
1686840739,0.00,271,1485
1686840740,0.00,271,1485
1686840741,0.00,271,1485
1686840742,0.00,271,1485
1686840743,0.00,271,1485
1686840745,0.00,271,1485
1686840746,0.00,271,1485
1686840747,0.00,271,1485
1686840748,0.00,271,1485
1686840749,0.00,271,1485
1686840750,0.00,271,1485
1686840752,0.00,271,1485
1686840753,0.00,271,1485
1686840754,0.00,271,1485
1686840755,0.00,271,1485
1686840756,0.00,271,1485
1686840757,0.00,271,1485
1686840759,0.00,271,1485
1686840760,0.00,271,1485
1686840761,0.00,271,1485
1686840762,0.00,271,1485
1686840763,0.00,271,1485
1686840764,0.00,271,1485
1686840766,0.00,271,1485
1686840767,0.00,271,1485
1686840768,0.00,271,1485
1686840769,0.00,271,1485
1686840770,0.00,271,1485
1686840771,0.00,271,1485
1686840773,6.20,271,1485
