time,cpu,mem,storage
1686842979,0.00,772,1965
1686842980,13.40,772,1965
1686842981,6.70,772,1965
1686842983,0.00,772,1965
1686842984,6.70,772,1965
1686842985,6.20,772,1965
1686842986,0.00,772,1965
1686842987,0.00,772,1965
1686842988,0.00,772,1965
1686842990,0.00,772,1965
1686842991,6.70,772,1965
1686842992,6.20,772,1965
1686842993,0.00,772,1965
1686842994,6.20,772,1965
1686842996,0.00,772,1965
1686842997,0.00,772,1965
1686842998,0.00,772,1965
1686842999,0.00,772,1965
1686843000,6.70,772,1965
1686843001,0.00,772,1965
1686843003,0.00,772,1965
1686843004,0.00,772,1965
1686843005,13.30,772,1965
1686843006,0.00,772,1965
1686843007,6.70,772,1965
1686843008,6.70,772,1965
1686843010,12.50,772,1965
1686843011,0.00,772,1965
1686843012,0.00,772,1965
1686843013,0.00,772,1965
1686843014,0.00,772,1965
1686843015,0.00,772,1965
1686843017,0.00,772,1965
1686843018,0.00,772,1965
1686843019,0.00,772,1965
1686843020,6.20,772,1965
1686843021,6.70,772,1965
1686843022,0.00,772,1965
1686843024,0.00,772,1965
1686843025,6.70,772,1965
1686843026,0.00,772,1965
1686843027,0.00,772,1965
1686843028,0.00,772,1965
1686843029,0.00,772,1965
1686843031,0.00,772,1965
1686843032,0.00,772,1965
1686843033,0.00,772,1965
1686843034,6.70,772,1965
1686843035,0.00,772,1965
1686843036,6.70,772,1965
1686843038,0.00,772,1965
1686843039,0.00,772,1965
1686843040,0.00,772,1965
1686843041,0.00,772,1965
1686843042,0.00,772,1965
1686843043,0.00,772,1965
1686843045,6.70,772,1965
1686843046,6.70,772,1965
1686843047,0.00,772,1965
1686843048,0.00,772,1965
1686843049,0.00,772,1965
1686843050,12.40,772,1965
1686843052,0.00,772,1965
1686843053,6.70,772,1965
1686843054,6.70,772,1965
1686843055,0.00,772,1965
1686843056,6.70,772,1965
1686843057,6.70,772,1965
1686843059,6.70,772,1965
1686843060,0.00,772,1965
1686843061,6.20,772,1965
1686843062,6.20,772,1965
1686843063,0.00,772,1965
1686843065,0.00,772,1965
1686843066,0.00,772,1965
1686843067,0.00,772,1965
1686843068,0.00,772,1965
1686843069,60.00,772,1965
1686843070,0.00,772,1965
1686843072,31.20,772,1965
1686843073,0.00,772,1965
1686843074,0.00,772,1965
1686843075,0.00,772,1965
1686843076,0.00,772,1965
1686843077,0.00,772,1965
1686843079,0.00,772,1965
1686843080,0.00,772,1965
1686843081,6.70,772,1965
1686843082,0.00,772,1965
1686843083,6.20,772,1965
1686843084,0.00,772,1965
1686843086,0.00,772,1965
1686843087,6.70,772,1965
1686843088,6.70,772,1965
1686843089,0.00,772,1965
1686843090,0.00,772,1965
1686843091,0.00,772,1965
1686843093,6.20,772,1965
1686843094,0.00,772,1965
1686843095,6.70,772,1965
1686843096,0.00,772,1965
1686843097,6.70,772,1965
1686843098,0.00,772,1965
1686843100,0.00,772,1965
1686843101,0.00,772,1965
1686843102,0.00,772,1965
1686843103,0.00,772,1965
1686843104,0.00,772,1965
1686843105,0.00,772,1965
1686843107,0.00,772,1965
1686843108,0.00,772,1965
1686843109,0.00,772,1965
1686843110,6.20,772,1965
1686843111,6.70,772,1965
1686843112,0.00,772,1965
1686843114,0.00,772,1965
1686843115,6.20,772,1965
1686843116,6.20,772,1965
1686843117,0.00,772,1965
1686843118,6.20,772,1965
1686843119,0.00,772,1965
1686843121,0.00,772,1965
1686843122,0.00,772,1965
1686843123,0.00,772,1965
1686843124,0.00,772,1965
1686843125,0.00,772,1965
1686843126,0.00,772,1965
1686843128,12.40,772,1965
1686843129,0.00,772,1965
1686843130,0.00,772,1965
1686843131,0.00,772,1965
1686843132,0.00,772,1965
1686843134,0.00,772,1965
1686843135,0.00,772,1965
1686843136,0.00,772,1965
1686843137,0.00,772,1965
1686843138,0.00,772,1965
1686843139,0.00,772,1965
1686843141,6.20,772,1965
1686843142,0.00,772,1965
1686843143,0.00,772,1965
1686843144,6.20,772,1965
1686843145,0.00,772,1965
1686843146,6.20,772,1965
1686843148,6.20,772,1965
1686843149,0.00,772,1965
1686843150,0.00,772,1965
1686843151,0.00,772,1965
1686843152,0.00,772,1965
1686843153,0.00,772,1965
1686843155,0.00,772,1965
1686843156,0.00,772,1965
1686843157,6.20,772,1965
1686843158,0.00,772,1965
1686843159,0.00,772,1965
1686843160,0.00,772,1965
1686843162,0.00,772,1965
1686843163,0.00,772,1965
1686843164,0.00,772,1965
1686843165,0.00,772,1965
1686843166,6.20,772,1965
1686843167,0.00,772,1965
1686843169,6.20,772,1965
1686843170,0.00,772,1965
1686843171,0.00,772,1965
1686843172,0.00,772,1965
1686843173,0.00,772,1965
1686843174,0.00,772,1965
1686843176,0.00,772,1965
1686843177,0.00,772,1965
1686843178,0.00,772,1965
1686843179,0.00,772,1965
1686843180,6.20,772,1965
1686843181,0.00,772,1965
1686843183,6.70,772,1965
1686843184,0.00,772,1965
1686843185,13.30,772,1965
1686843186,0.00,772,1965
1686843187,0.00,772,1965
1686843188,0.00,772,1965
1686843190,0.00,772,1965
1686843191,6.20,772,1965
1686843192,6.70,772,1965
1686843193,0.00,772,1965
1686843194,6.70,772,1965
1686843195,6.70,772,1966
1686843197,0.00,772,1966
1686843198,0.00,772,1966
1686843199,6.70,772,1966
1686843200,13.30,772,1966
1686843201,0.00,772,1966
1686843203,6.20,772,1966
1686843204,0.00,772,1966
1686843205,6.20,772,1966
1686843206,0.00,772,1966
1686843207,0.00,772,1966
1686843208,6.70,772,1966
1686843210,0.00,772,1966
1686843211,0.00,772,1966
1686843212,0.00,772,1966
1686843213,0.00,772,1966
1686843214,0.00,772,1966
1686843215,0.00,772,1966
1686843217,0.00,772,1966
1686843218,13.40,772,1966
1686843219,0.00,772,1966
1686843220,0.00,772,1966
1686843221,0.00,772,1966
1686843222,6.70,772,1966
1686843224,6.70,772,1966
1686843225,0.00,772,1966
1686843226,0.00,772,1966
1686843227,0.00,772,1966
1686843228,6.70,772,1966
1686843229,0.00,772,1966
1686843231,6.70,772,1966
1686843232,6.70,772,1966
1686843233,13.40,772,1966
1686843234,0.00,772,1966
1686843235,0.00,772,1966
1686843236,0.00,772,1966
1686843238,0.00,772,1966
1686843239,6.70,772,1966
1686843240,0.00,772,1966
1686843241,0.00,772,1966
1686843242,0.00,772,1966
1686843243,6.70,772,1966
1686843245,6.20,772,1966
1686843246,6.70,772,1966
1686843247,0.00,772,1966
1686843248,0.00,772,1966
1686843249,0.00,772,1966
1686843250,0.00,772,1966
1686843252,6.70,772,1966
1686843253,0.00,772,1966
1686843254,6.70,772,1966
1686843255,0.00,772,1966
