time,cpu,mem,storage
1686844580,6.70,827,1988
1686844581,0.00,827,1988
1686844582,0.00,827,1988
1686844583,0.00,827,1988
1686844584,6.70,827,1988
1686844586,0.00,827,1988
1686844587,0.00,827,1988
1686844588,6.70,827,1988
1686844589,0.00,827,1988
1686844590,0.00,827,1988
1686844591,0.00,827,1988
1686844593,6.70,827,1988
1686844594,0.00,827,1988
1686844595,0.00,827,1988
1686844596,0.00,827,1988
1686844597,0.00,827,1988
1686844598,0.00,827,1988
1686844600,0.00,827,1988
1686844601,0.00,827,1988
1686844602,0.00,827,1988
1686844603,0.00,827,1988
1686844604,0.00,827,1988
1686844605,0.00,827,1988
1686844607,0.00,827,1988
1686844608,0.00,827,1988
1686844609,6.70,827,1988
1686844610,0.00,827,1988
1686844611,13.40,827,1988
1686844612,0.00,827,1988
1686844614,0.00,827,1988
1686844615,12.40,827,1988
1686844616,0.00,827,1988
1686844617,0.00,827,1988
1686844618,0.00,827,1988
1686844619,0.00,827,1988
1686844621,0.00,827,1988
1686844622,6.20,827,1988
1686844623,0.00,827,1988
1686844624,0.00,827,1988
1686844625,6.70,827,1988
1686844626,6.70,827,1988
1686844628,6.70,827,1988
1686844629,13.40,827,1988
1686844630,0.00,827,1988
1686844631,0.00,827,1988
1686844632,0.00,827,1988
1686844633,0.00,827,1988
1686844635,0.00,827,1988
1686844636,0.00,827,1988
1686844637,0.00,827,1988
1686844638,0.00,827,1988
1686844639,0.00,827,1988
1686844640,6.70,827,1988
1686844642,0.00,827,1988
1686844643,0.00,827,1988
1686844644,0.00,827,1988
1686844645,0.00,827,1988
1686844646,6.70,827,1988
1686844648,0.00,827,1988
1686844649,0.00,827,1988
1686844650,0.00,827,1988
1686844651,6.70,827,1988
1686844652,0.00,827,1988
1686844653,6.20,827,1988
1686844655,0.00,827,1988
1686844656,6.20,827,1988
1686844657,6.20,827,1988
1686844658,0.00,827,1988
1686844659,0.00,827,1988
1686844660,0.00,827,1988
1686844662,6.70,827,1988
1686844663,0.00,827,1988
1686844664,0.00,827,1988
1686844665,6.20,827,1988
1686844666,6.20,827,1988
1686844667,6.20,827,1988
1686844669,0.00,827,1988
1686844670,0.00,827,1988
1686844671,0.00,827,1988
1686844672,6.20,827,1988
1686844673,6.20,827,1988
1686844674,0.00,827,1988
1686844676,0.00,827,1988
1686844677,0.00,827,1988
1686844678,6.20,827,1988
1686844679,0.00,827,1988
1686844680,0.00,827,1988
1686844681,6.20,827,1988
1686844683,6.70,827,1988
1686844684,0.00,827,1988
1686844685,13.30,827,1988
1686844686,0.00,827,1988
1686844687,0.00,827,1988
1686844688,0.00,827,1988
1686844690,0.00,827,1988
1686844691,0.00,827,1988
1686844692,0.00,827,1988
1686844693,0.00,827,1988
1686844694,6.20,827,1988
1686844696,6.20,827,1988
1686844697,0.00,827,1988
1686844698,0.00,827,1988
1686844699,6.70,827,1988
1686844700,0.00,827,1988
1686844701,0.00,827,1988
1686844703,0.00,827,1988
1686844704,0.00,827,1988
1686844705,0.00,827,1988
1686844706,0.00,827,1988
1686844707,0.00,827,1988
1686844708,0.00,827,1988
1686844710,6.70,827,1988
1686844711,0.00,827,1988
1686844712,0.00,827,1988
1686844713,0.00,827,1988
1686844714,0.00,827,1988
1686844715,0.00,827,1988
1686844717,0.00,827,1988
1686844718,0.00,827,1988
1686844719,0.00,827,1988
1686844720,6.20,827,1988
1686844721,0.00,827,1988
1686844722,0.00,827,1988
1686844724,0.00,827,1988
1686844725,13.40,827,1988
1686844726,0.00,827,1988
1686844727,0.00,827,1988
1686844728,6.70,827,1988
1686844729,13.40,827,1988
1686844731,6.70,827,1988
1686844732,6.70,827,1988
1686844733,6.70,827,1988
1686844734,0.00,827,1988
1686844735,0.00,827,1988
1686844736,6.70,827,1988
1686844738,6.70,827,1988
1686844739,6.70,827,1988
1686844740,0.00,827,1988
1686844741,0.00,827,1988
1686844742,0.00,827,1988
1686844743,6.70,827,1988
1686844745,6.70,827,1988
1686844746,6.70,827,1988
1686844747,0.00,827,1988
1686844748,0.00,827,1988
1686844749,0.00,827,1988
1686844750,6.70,827,1988
1686844752,25.00,827,1988
1686844753,0.00,827,1988
1686844754,6.20,827,1988
1686844755,0.00,827,1988
1686844756,6.70,827,1988
1686844758,6.20,827,1988
1686844759,6.20,827,1988
1686844760,0.00,827,1988
1686844761,6.20,827,1988
1686844762,0.00,827,1988
1686844763,0.00,827,1988
1686844765,0.00,827,1988
1686844766,6.70,827,1988
1686844767,6.20,827,1988
1686844768,0.00,827,1988
1686844769,0.00,827,1988
1686844770,6.70,827,1988
1686844772,6.70,827,1988
1686844773,13.40,827,1988
1686844774,0.00,827,1988
1686844775,6.70,827,1988
1686844776,6.70,827,1988
1686844777,6.20,827,1988
1686844779,0.00,827,1988
1686844780,13.40,827,1988
1686844781,6.70,827,1988
1686844782,0.00,827,1988
1686844783,0.00,827,1988
1686844784,0.00,827,1988
1686844786,6.20,827,1988
1686844787,6.20,827,1988
1686844788,0.00,827,1988
1686844789,0.00,827,1988
1686844790,6.70,827,1988
1686844791,6.70,827,1988
1686844793,0.00,827,1988
1686844794,0.00,827,1988
1686844795,13.40,827,1988
1686844796,0.00,827,1988
1686844797,0.00,827,1988
1686844798,6.70,827,1988
1686844800,0.00,827,1988
1686844801,0.00,827,1988
1686844802,6.20,827,1988
1686844803,0.00,827,1988
1686844804,6.20,827,1988
1686844805,0.00,827,1988
1686844807,0.00,827,1988
1686844808,0.00,827,1988
1686844809,0.00,827,1988
1686844810,0.00,827,1988
1686844811,0.00,827,1988
1686844812,0.00,827,1988
1686844814,6.20,827,1988
1686844815,6.20,827,1988
1686844816,0.00,827,1988
1686844817,0.00,827,1988
1686844818,13.40,827,1988
1686844820,6.70,827,1988
1686844821,6.70,827,1988
1686844822,6.70,827,1988
1686844823,0.00,827,1988
1686844824,0.00,827,1988
1686844825,0.00,827,1988
1686844827,6.70,827,1988
1686844828,6.70,827,1988
1686844829,0.00,827,1988
1686844830,0.00,827,1988
1686844831,0.00,827,1988
1686844832,6.70,827,1988
1686844834,6.70,827,1988
1686844835,0.00,827,1988
1686844836,6.70,827,1988
1686844837,0.00,827,1988
1686844838,12.40,827,1988
1686844839,0.00,827,1988
1686844841,0.00,827,1988
1686844842,13.40,827,1988
1686844843,0.00,827,1988
1686844844,6.70,827,1988
1686844845,0.00,827,1988
1686844846,6.70,827,1988
1686844848,6.70,827,1988
1686844849,0.00,827,1988
1686844850,0.00,827,1988
1686844851,12.40,827,1988
1686844852,0.00,827,1988
1686844853,0.00,827,1988
1686844855,0.00,827,1988
1686844856,6.70,827,1988
1686844857,0.00,827,1988
1686844858,6.70,827,1988
1686844859,0.00,827,1988
1686844860,6.70,827,1988
1686844862,0.00,827,1988
1686844863,0.00,827,1988
1686844864,6.70,827,1988
1686844865,0.00,827,1988
1686844866,0.00,827,1988
1686844867,0.00,827,1988
1686844869,6.70,827,1988
1686844870,0.00,827,1988
1686844871,6.70,827,1988
1686844872,0.00,827,1988
1686844873,6.20,827,1988
1686844875,6.20,827,1988
1686844876,6.20,827,1988
1686844877,0.00,827,1988
1686844878,0.00,827,1988
1686844879,0.00,827,1988
1686844880,0.00,827,1988
1686844882,13.40,827,1988
1686844883,0.00,827,1988
1686844884,0.00,827,1988
1686844885,6.70,827,1988
1686844886,0.00,827,1988
1686844887,6.20,827,1988
1686844889,0.00,827,1988
1686844890,0.00,827,1988
1686844891,6.20,827,1988
1686844892,0.00,827,1988
1686844893,6.20,827,1988
1686844894,0.00,827,1988
1686844896,0.00,827,1988
1686844897,6.20,827,1988
1686844898,0.00,827,1988
1686844899,0.00,827,1988
1686844900,6.70,827,1988
1686844901,0.00,827,1988
1686844903,0.00,827,1988
1686844904,0.00,827,1988
1686844905,6.20,827,1988
1686844906,0.00,827,1988
1686844907,0.00,827,1988
1686844908,0.00,827,1988
1686844910,0.00,827,1988
1686844911,0.00,827,1988
1686844912,13.40,827,1988
1686844913,0.00,827,1988
1686844914,0.00,827,1988
1686844915,0.00,827,1988
1686844917,0.00,827,1988
1686844918,0.00,827,1988
1686844919,0.00,827,1988
1686844920,0.00,827,1988
1686844921,6.20,827,1988
1686844922,0.00,827,1988
1686844924,0.00,827,1988
1686844925,0.00,827,1988
1686844926,6.70,827,1988
1686844927,0.00,827,1988
1686844928,6.70,827,1988
1686844930,0.00,827,1988
1686844931,0.00,827,1988
1686844932,0.00,827,1988
1686844933,0.00,827,1988
1686844934,0.00,827,1988
1686844935,0.00,827,1988
1686844937,0.00,827,1988
1686844938,0.00,827,1988
1686844939,0.00,827,1988
1686844940,0.00,827,1988
1686844941,6.70,827,1988
1686844942,13.40,827,1988
1686844944,0.00,826,1988
1686844945,13.40,826,1988
1686844946,6.70,826,1988
1686844947,0.00,826,1988
1686844948,6.70,826,1988
1686844949,6.70,826,1988
1686844951,6.70,826,1988
1686844952,6.70,826,1988
1686844953,0.00,826,1988
1686844954,0.00,826,1988
1686844955,0.00,826,1988
1686844956,0.00,826,1988
1686844958,0.00,826,1988
1686844959,0.00,826,1988
1686844960,0.00,826,1988
1686844961,0.00,826,1988
1686844962,6.20,826,1988
1686844963,0.00,826,1988
1686844965,0.00,826,1988
1686844966,0.00,826,1988
1686844967,0.00,826,1988
1686844968,6.20,826,1988
1686844969,0.00,826,1988
1686844970,6.20,826,1988
1686844972,6.20,826,1988
1686844973,0.00,826,1988
1686844974,0.00,826,1988
1686844975,0.00,826,1988
1686844976,0.00,826,1988
1686844977,0.00,826,1988
1686844979,0.00,826,1988
1686844980,6.70,826,1988
1686844981,0.00,826,1988
1686844982,6.70,826,1988
1686844983,0.00,826,1988
1686844985,0.00,826,1988
1686844986,0.00,826,1988
1686844987,0.00,826,1988
1686844988,0.00,826,1988
1686844989,6.70,826,1988
1686844990,13.40,826,1988
1686844992,13.40,826,1988
1686844993,0.00,826,1988
1686844994,0.00,826,1988
1686844995,6.70,826,1988
1686844996,6.70,826,1988
1686844997,6.70,826,1988
1686844999,0.00,826,1988
1686845000,6.70,826,1988
1686845001,0.00,826,1988
1686845002,0.00,826,1988
1686845003,0.00,826,1988
1686845004,0.00,826,1988
