time,cpu,mem,storage
1686939121,16.70,164,3383
1686939122,100.20,165,3383
1686939124,61.30,165,3383
1686939125,17.70,165,3383
1686939126,23.50,165,3383
1686939127,33.40,165,3383
1686939129,55.70,166,3383
1686939130,29.40,166,3383
1686939131,17.60,165,3383
1686939132,22.30,165,3383
1686939134,39.00,165,3383
1686939135,16.70,165,3383
1686939136,83.40,165,3383
1686939138,22.30,165,3383
1686939139,29.50,165,3383
1686939140,27.90,165,3383
1686939141,22.30,165,3383
1686939143,31.70,165,3383
1686939144,23.50,165,3383
1686939145,22.30,165,3383
1686939146,83.50,165,3383
1686939148,17.70,165,3383
1686939149,33.50,165,3383
1686939150,33.40,165,3383
1686939152,16.70,165,3383
1686939153,29.50,165,3383
1686939154,39.00,166,3383
1686939155,50.10,165,3383
1686939157,53.00,166,3383
1686939158,33.50,165,3383
1686939159,22.30,165,3383
1686939160,76.40,164,3383
1686939162,23.50,165,3383
1686939163,29.50,165,3383
1686939164,72.40,165,3383
1686939166,52.90,165,3383
1686939167,27.90,165,3383
1686939168,39.00,165,3383
1686939169,33.50,165,3383
1686939171,52.90,165,3383
1686939172,41.20,164,3383
1686939173,22.30,164,3383
1686939174,23.50,164,3383
1686939176,44.50,164,3383
1686939177,35.30,164,3383
1686939178,83.40,164,3383
1686939180,26.40,164,3383
1686939181,50.20,164,3383
1686939182,42.20,165,3383
1686939183,22.30,164,3383
1686939185,44.60,164,3383
1686939186,27.90,165,3383
1686939187,22.30,165,3383
1686939189,29.40,165,3383
1686939190,27.90,165,3383
1686939191,16.70,165,3383
1686939192,83.50,165,3383
1686939194,26.40,165,3383
1686939195,29.40,165,3383
1686939196,35.30,165,3383
1686939197,47.10,165,3383
1686939199,27.90,165,3383
1686939200,27.90,164,3383
1686939201,22.30,165,3383
1686939202,50.10,165,3383
1686939204,21.10,165,3383
1686939205,27.90,165,3383
1686939206,100.20,164,3383
1686939208,58.00,165,3383
1686939209,22.30,165,3383
1686939210,72.40,165,3383
1686939211,27.90,165,3383
1686939213,83.50,165,3383
1686939214,29.50,165,3383
1686939215,44.60,165,3383
1686939217,15.80,165,3383
1686939218,39.00,165,3383
1686939219,22.30,165,3383
1686939220,100.20,165,3383
1686939222,26.40,164,3383
1686939223,23.50,164,3383
1686939224,77.90,164,3383
1686939225,53.00,164,3383
1686939227,26.40,164,3383
1686939228,22.30,165,3383
1686939229,33.50,165,3383
1686939231,27.90,164,3383
1686939232,29.50,164,3383
1686939233,39.10,165,3383
1686939234,50.10,165,3383
1686939236,29.40,165,3383
1686939237,16.70,165,3383
1686939238,94.60,165,3383
1686939239,55.70,165,3383
1686939241,27.90,165,3383
1686939242,44.50,165,3383
1686939243,22.30,165,3383
1686939245,52.90,165,3383
1686939246,27.90,165,3383
1686939247,29.40,165,3383
1686939248,58.80,165,3383
1686939250,105.80,165,3383
1686939251,22.30,165,3383
1686939252,50.00,165,3383
1686939253,29.40,165,3383
1686939255,29.40,165,3383
1686939256,39.10,165,3383
1686939257,16.70,165,3383
1686939259,27.90,165,3383
1686939260,44.50,166,3383
1686939261,23.50,165,3383
1686939262,55.70,165,3383
1686939264,58.10,165,3383
1686939265,29.40,165,3383
1686939266,83.50,165,3383
1686939267,29.40,165,3383
1686939269,27.90,165,3383
1686939270,39.10,165,3383
1686939271,39.00,165,3383
1686939273,22.30,166,3383
1686939274,22.30,165,3383
1686939275,17.70,165,3383
1686939276,72.40,165,3383
1686939278,22.30,165,3383
1686939279,21.10,165,3383
1686939280,66.60,165,3383
1686939281,44.60,165,3383
1686939283,22.30,165,3383
1686939284,44.50,165,3383
1686939285,22.30,165,3383
1686939287,33.40,165,3383
1686939288,27.90,165,3383
1686939289,17.60,164,3383
1686939290,44.70,165,3383
1686939292,44.50,165,3383
1686939293,16.70,165,3383
1686939294,100.20,165,3383
1686939295,39.00,165,3383
1686939297,26.40,165,3383
1686939298,29.40,165,3383
1686939299,27.90,165,3383
1686939301,35.30,165,3383
1686939302,23.50,165,3383
1686939303,47.10,166,3383
1686939304,17.60,165,3383
