time,cpu,mem,storage
1686927791,0.00,253,1488
1686927792,0.00,253,1488
1686927794,0.00,253,1488
1686927795,0.00,253,1488
1686927796,0.00,253,1488
1686927797,0.00,253,1488
1686927798,0.00,253,1488
1686927799,0.00,253,1488
1686927801,0.00,253,1488
1686927802,0.00,253,1488
1686927803,0.00,253,1488
1686927804,0.00,253,1488
1686927805,0.00,253,1488
1686927806,0.00,253,1488
1686927808,0.00,253,1488
1686927809,0.00,253,1488
1686927810,6.70,253,1488
1686927811,0.00,253,1488
1686927812,0.00,253,1488
1686927813,0.00,253,1488
1686927815,0.00,253,1488
1686927816,0.00,253,1488
1686927817,0.00,253,1488
1686927818,0.00,253,1488
1686927819,0.00,253,1488
1686927820,0.00,253,1488
1686927822,0.00,253,1488
1686927823,0.00,253,1488
1686927824,0.00,253,1488
1686927825,0.00,253,1488
1686927826,0.00,253,1488
1686927828,0.00,253,1488
1686927829,0.00,253,1488
1686927830,0.00,253,1488
1686927831,0.00,253,1488
1686927832,0.00,253,1488
1686927833,0.00,253,1488
1686927835,0.00,253,1488
1686927836,0.00,253,1488
1686927837,0.00,253,1488
1686927838,0.00,253,1488
1686927839,0.00,253,1488
1686927840,0.00,253,1488
1686927842,0.00,253,1488
1686927843,0.00,253,1488
1686927844,0.00,253,1488
1686927845,0.00,253,1488
1686927846,0.00,253,1488
1686927847,6.70,253,1488
1686927849,6.20,253,1488
1686927850,0.00,253,1488
1686927851,0.00,253,1488
1686927852,0.00,253,1488
1686927853,0.00,253,1488
1686927854,0.00,253,1488
1686927856,0.00,253,1488
1686927857,0.00,253,1488
1686927858,0.00,253,1488
1686927859,0.00,253,1488
1686927860,0.00,253,1488
1686927861,0.00,253,1488
1686927863,0.00,253,1488
1686927864,0.00,253,1488
1686927865,0.00,253,1488
1686927866,0.00,253,1488
1686927867,0.00,253,1488
1686927868,0.00,253,1488
1686927870,0.00,253,1488
1686927871,0.00,253,1488
1686927872,0.00,253,1488
1686927873,0.00,253,1488
1686927874,0.00,253,1488
1686927875,0.00,253,1488
1686927877,0.00,253,1488
1686927878,0.00,253,1488
1686927879,0.00,253,1488
1686927880,6.70,253,1488
1686927881,0.00,253,1488
1686927882,0.00,253,1488
1686927884,6.20,253,1488
1686927885,0.00,253,1488
1686927886,0.00,253,1488
1686927887,0.00,253,1488
1686927888,0.00,253,1488
1686927889,0.00,253,1488
1686927891,0.00,253,1488
1686927892,0.00,253,1488
1686927893,6.70,253,1488
1686927894,0.00,253,1488
1686927895,0.00,253,1488
1686927896,0.00,253,1488
1686927898,0.00,253,1488
1686927899,0.00,253,1488
1686927900,0.00,253,1488
1686927901,0.00,253,1488
1686927902,0.00,253,1488
1686927903,0.00,253,1488
1686927905,0.00,253,1488
1686927906,0.00,253,1488
1686927907,0.00,253,1488
1686927908,0.00,253,1488
1686927909,0.00,253,1488
1686927910,0.00,253,1488
1686927912,0.00,253,1488
1686927913,0.00,253,1488
1686927914,0.00,253,1488
1686927915,0.00,253,1488
1686927916,0.00,253,1488
1686927917,0.00,253,1488
1686927919,0.00,253,1488
1686927920,6.70,253,1488
1686927921,0.00,253,1488
1686927922,0.00,253,1488
1686927923,0.00,253,1488
1686927924,0.00,253,1488
1686927926,0.00,253,1488
1686927927,0.00,253,1488
1686927928,0.00,253,1488
1686927929,0.00,253,1488
1686927930,0.00,253,1488
1686927932,0.00,253,1488
1686927933,0.00,253,1488
1686927934,0.00,253,1488
1686927935,0.00,253,1488
1686927936,0.00,253,1488
1686927937,0.00,253,1488
1686927939,0.00,253,1488
1686927940,0.00,253,1488
1686927941,6.70,253,1488
1686927942,0.00,253,1488
1686927943,0.00,253,1488
1686927944,0.00,253,1488
1686927946,0.00,253,1488
1686927947,0.00,253,1488
1686927948,0.00,253,1488
1686927949,0.00,253,1488
1686927950,0.00,253,1488
1686927951,0.00,253,1488
1686927953,0.00,253,1488
1686927954,0.00,253,1488
1686927955,0.00,253,1488
1686927956,0.00,253,1488
1686927957,6.70,253,1488
1686927958,0.00,253,1488
1686927960,0.00,253,1488
1686927961,0.00,253,1488
1686927962,0.00,253,1488
1686927963,0.00,253,1488
1686927964,0.00,253,1488
1686927965,0.00,253,1488
1686927967,0.00,253,1488
1686927968,0.00,253,1488
1686927969,0.00,253,1488
1686927970,0.00,253,1488
1686927971,0.00,253,1488
1686927972,0.00,253,1488
1686927974,0.00,253,1488
1686927975,0.00,253,1488
1686927976,0.00,253,1488
1686927977,0.00,253,1488
1686927978,0.00,253,1488
1686927979,0.00,253,1488
1686927981,0.00,253,1488
1686927982,0.00,253,1488
1686927983,0.00,253,1488
1686927984,0.00,253,1488
1686927985,0.00,253,1488
1686927986,0.00,253,1488
1686927988,0.00,253,1488
1686927989,0.00,253,1488
1686927990,0.00,253,1488
1686927991,0.00,253,1488
1686927992,6.70,253,1488
1686927993,0.00,253,1488
1686927995,0.00,253,1488
1686927996,0.00,253,1488
1686927997,0.00,253,1488
1686927998,0.00,253,1488
1686927999,0.00,253,1488
1686928000,0.00,253,1488
1686928002,0.00,253,1488
1686928003,0.00,253,1488
1686928004,0.00,253,1488
1686928005,0.00,253,1488
1686928006,0.00,253,1488
1686928007,0.00,253,1488
1686928009,0.00,253,1488
1686928010,0.00,253,1488
1686928011,0.00,253,1488
1686928012,0.00,253,1488
1686928013,0.00,253,1488
1686928014,0.00,253,1488
1686928016,0.00,253,1488
1686928017,6.70,253,1488
1686928018,0.00,253,1488
1686928019,0.00,253,1488
1686928020,0.00,253,1488
1686928021,0.00,253,1488
1686928023,0.00,253,1488
1686928024,0.00,253,1488
1686928025,0.00,253,1488
1686928026,0.00,253,1488
1686928027,0.00,253,1488
1686928029,6.70,253,1488
1686928030,0.00,253,1488
1686928031,6.70,253,1488
1686928032,0.00,253,1488
1686928033,0.00,253,1488
1686928034,0.00,253,1488
1686928036,0.00,253,1488
1686928037,0.00,253,1488
1686928038,0.00,253,1488
1686928039,0.00,253,1488
1686928040,0.00,253,1488
1686928041,0.00,253,1488
1686928043,0.00,253,1488
1686928044,0.00,253,1488
1686928045,0.00,253,1488
1686928046,0.00,253,1488
1686928047,6.70,253,1488
1686928048,0.00,253,1488
1686928050,0.00,253,1488
1686928051,0.00,253,1488
1686928052,0.00,253,1488
1686928053,0.00,253,1488
1686928054,0.00,253,1488
1686928055,0.00,253,1488
1686928057,0.00,253,1488
1686928058,0.00,253,1488
1686928059,0.00,253,1488
1686928060,0.00,253,1488
1686928061,0.00,253,1488
1686928062,0.00,253,1488
1686928064,0.00,253,1488
1686928065,0.00,253,1488
1686928066,0.00,253,1488
1686928067,0.00,253,1488
1686928068,6.20,253,1488
1686928069,6.20,253,1488
1686928071,0.00,253,1488
1686928072,0.00,253,1488
1686928073,0.00,253,1488
1686928074,0.00,253,1488
1686928075,0.00,253,1488
1686928076,0.00,253,1488
1686928078,0.00,253,1488
1686928079,0.00,253,1488
1686928080,0.00,253,1488
1686928081,0.00,253,1488
1686928082,0.00,253,1488
1686928083,0.00,253,1488
1686928085,0.00,253,1488
1686928086,0.00,253,1488
1686928087,0.00,253,1488
1686928088,0.00,253,1488
1686928089,0.00,253,1488
1686928090,0.00,253,1488
1686928092,0.00,253,1488
1686928093,0.00,253,1488
1686928094,0.00,253,1488
1686928095,0.00,253,1488
1686928096,0.00,253,1488
1686928097,0.00,253,1488
1686928099,0.00,253,1488
1686928100,0.00,253,1488
1686928101,0.00,253,1488
1686928102,0.00,253,1488
1686928103,0.00,253,1488
1686928104,0.00,253,1488
1686928106,0.00,253,1488
1686928107,0.00,253,1488
1686928108,0.00,253,1488
1686928109,0.00,253,1488
1686928110,0.00,253,1488
1686928111,0.00,253,1488
1686928113,0.00,253,1488
1686928114,0.00,253,1488
1686928115,0.00,253,1488
1686928116,0.00,253,1488
1686928117,0.00,253,1488
1686928118,0.00,253,1488
1686928120,0.00,253,1488
1686928121,0.00,253,1488
1686928122,0.00,253,1488
1686928123,0.00,253,1488
1686928124,0.00,253,1488
1686928125,0.00,253,1488
1686928127,0.00,253,1488
1686928128,0.00,253,1488
1686928129,0.00,253,1488
1686928130,0.00,253,1488
1686928131,0.00,253,1488
1686928133,0.00,253,1488
1686928134,0.00,253,1488
1686928135,0.00,253,1488
1686928136,0.00,253,1488
