time,cpu,mem,storage
1686936775,44.60,146,2756
1686936777,29.40,146,2756
1686936778,22.30,145,2756
1686936779,22.30,145,2756
1686936780,16.70,146,2756
1686936782,15.80,145,2756
1686936783,44.60,145,2756
1686936784,61.10,146,2756
1686936785,27.90,145,2756
1686936787,17.70,145,2756
1686936788,22.30,146,2756
1686936789,17.70,146,2756
1686936791,16.70,145,2756
1686936792,11.10,146,2756
1686936793,33.50,146,2756
1686936794,27.80,145,2756
1686936796,17.70,145,2756
1686936797,41.20,145,2756
1686936798,23.60,145,2756
1686936799,35.40,145,2756
1686936801,33.40,146,2756
1686936802,29.50,145,2756
1686936803,29.50,145,2756
1686936804,27.90,145,2756
1686936806,27.90,146,2756
1686936807,41.20,146,2756
1686936808,58.80,145,2756
1686936810,47.20,145,2756
1686936811,27.90,144,2756
1686936812,21.10,145,2756
1686936813,23.50,145,2756
1686936815,29.40,145,2756
1686936816,22.30,145,2756
1686936817,55.70,145,2756
1686936818,26.40,145,2756
1686936820,22.30,145,2756
1686936821,29.40,145,2756
1686936822,66.70,146,2756
1686936824,27.90,146,2756
1686936825,29.50,145,2756
1686936826,29.40,145,2756
1686936827,77.90,145,2756
1686936829,22.30,145,2756
1686936830,23.50,145,2756
1686936831,23.50,145,2756
1686936832,22.30,145,2756
1686936834,17.70,145,2756
1686936835,22.30,145,2756
1686936836,105.80,146,2756
1686936837,70.60,145,2756
1686936839,23.50,145,2756
1686936840,23.50,145,2756
1686936841,33.50,144,2756
1686936843,42.10,145,2756
1686936844,27.90,145,2756
1686936845,23.50,145,2756
1686936846,70.60,145,2756
1686936848,82.40,145,2756
1686936849,27.80,145,2756
1686936850,27.80,145,2756
1686936851,27.90,144,2756
1686936853,22.30,146,2756
1686936854,22.30,145,2756
1686936855,11.80,144,2756
1686936856,23.50,145,2756
1686936858,72.30,145,2756
1686936859,17.70,146,2756
1686936860,50.10,146,2756
1686936862,17.70,145,2756
1686936863,61.30,145,2756
1686936864,21.10,145,2756
1686936865,23.60,145,2756
1686936867,23.50,145,2756
1686936868,35.30,145,2756
1686936869,16.70,145,2756
1686936870,27.90,145,2756
1686936872,15.80,145,2756
1686936873,50.00,145,2756
1686936874,61.20,146,2756
1686936875,23.60,145,2756
1686936877,23.60,146,2756
1686936878,44.60,145,2756
1686936879,23.50,146,2756
1686936881,23.50,146,2756
1686936882,33.50,146,2756
1686936883,35.40,145,2756
1686936884,27.90,146,2756
1686936886,17.70,146,2756
1686936887,17.70,145,2756
1686936888,77.90,146,2756
1686936889,22.30,145,2756
1686936891,21.10,145,2756
1686936892,29.40,145,2756
1686936893,27.90,146,2756
1686936895,16.70,146,2756
1686936896,29.40,145,2756
1686936897,23.50,145,2756
1686936898,76.40,145,2756
1686936900,26.40,145,2756
1686936901,23.60,146,2756
1686936902,41.10,145,2756
1686936903,44.60,145,2756
1686936905,11.80,145,2756
1686936906,27.90,146,2756
1686936907,17.70,145,2756
1686936908,39.00,146,2756
1686936910,27.80,145,2756
1686936911,16.70,146,2756
1686936912,123.60,145,2756
1686936914,50.20,145,2756
1686936915,27.90,146,2756
1686936916,23.50,146,2756
1686936917,26.40,146,2756
1686936919,33.40,146,2756
1686936920,29.40,146,2756
1686936921,22.30,146,2756
1686936922,23.60,145,2756
1686936924,31.60,146,2756
1686936925,16.70,146,2756
1686936926,88.30,145,2756
1686936927,29.40,145,2756
1686936929,61.30,146,2756
1686936930,26.40,146,2756
1686936931,27.90,145,2756
1686936933,35.30,145,2756
1686936934,35.40,146,2756
1686936935,21.10,145,2756
1686936936,29.40,145,2756
1686936938,22.30,145,2756
1686936939,94.80,146,2756
1686936940,52.70,145,2756
1686936941,16.70,145,2756
1686936943,17.70,146,2756
1686936944,50.20,146,2756
1686936945,31.60,146,2756
1686936947,23.50,146,2756
1686936948,29.50,145,2756
1686936949,35.30,145,2756
1686936950,16.70,145,2756
1686936952,22.30,146,2756
1686936953,16.70,145,2756
1686936954,66.80,145,2756
1686936955,23.50,146,2756
1686936957,22.30,145,2756
1686936958,23.50,145,2756
1686936959,17.60,145,2756
1686936961,29.50,145,2756
1686936962,29.50,145,2756
1686936963,47.40,145,2756
1686936964,47.10,145,2756
1686936966,22.30,145,2756
1686936967,22.30,146,2756
1686936968,35.40,145,2756
1686936969,27.90,146,2756
1686936971,16.70,146,2756
1686936972,33.50,144,2756
1686936973,27.90,144,2756
1686936974,27.90,144,2756
1686936976,27.90,145,2756
1686936977,33.50,145,2756
1686936978,88.30,145,2756
1686936980,15.80,145,2756
1686936981,22.30,145,2756
1686936982,50.20,145,2756
1686936983,44.60,146,2756
1686936985,16.70,145,2756
1686936986,27.90,146,2756
1686936987,64.70,145,2756
1686936988,47.00,145,2756
1686936990,29.40,145,2756
1686936991,23.50,145,2756
1686936992,100.20,145,2756
1686936993,22.30,146,2756
1686936995,16.70,146,2756
1686936996,26.40,145,2756
1686936997,44.60,146,2756
1686936999,39.00,146,2756
1686937000,26.40,145,2756
1686937001,41.20,146,2756
1686937002,36.90,146,2756
1686937004,36.90,146,2756
1686937005,22.20,146,2756
1686937006,66.80,146,2756
1686937007,41.20,145,2756
1686937009,38.90,145,2756
1686937010,27.90,145,2756
1686937011,72.50,146,2756
1686937013,41.20,146,2756
1686937014,22.30,146,2756
1686937015,22.30,146,2756
1686937016,133.40,146,2756
1686937018,22.30,146,2756
1686937019,33.40,146,2756
1686937020,33.40,146,2756
1686937021,35.30,146,2756
1686937023,29.40,145,2756
1686937024,44.60,146,2756
1686937025,26.30,145,2756
1686937026,23.60,146,2756
