time,cpu,mem,storage
1686855318,44.60,148,3397
1686855319,22.30,148,3397
1686855320,23.50,148,3397
1686855322,33.40,148,3397
1686855323,22.30,148,3397
1686855324,29.40,148,3397
1686855325,16.70,149,3397
1686855327,22.30,148,3397
1686855328,17.60,148,3397
1686855329,38.90,148,3397
1686855331,23.50,148,3397
1686855332,23.50,148,3397
1686855333,27.90,148,3397
1686855334,55.80,149,3397
1686855336,27.90,148,3397
1686855337,22.30,148,3397
1686855338,31.70,148,3397
1686855339,22.30,148,3397
1686855341,33.50,149,3397
1686855342,27.90,148,3397
1686855343,33.50,148,3397
1686855345,22.30,148,3397
1686855346,26.40,148,3397
1686855347,29.50,149,3397
1686855348,23.50,148,3397
1686855350,23.50,149,3397
1686855351,29.40,149,3397
1686855352,31.70,149,3397
1686855353,28.00,149,3397
1686855355,22.30,148,3397
1686855356,27.80,149,3397
1686855357,21.10,149,3397
1686855359,39.00,149,3397
1686855360,23.50,149,3397
1686855361,29.40,148,3397
1686855362,27.90,149,3397
1686855364,22.30,148,3397
1686855365,27.90,149,3397
1686855366,23.50,148,3397
1686855367,26.40,148,3397
1686855369,27.90,148,3397
1686855370,27.90,148,3397
1686855371,27.90,148,3397
1686855373,27.90,148,3397
1686855374,22.30,148,3397
1686855375,17.70,148,3397
1686855376,22.30,148,3397
1686855378,22.30,149,3397
1686855379,39.10,148,3397
1686855380,16.70,148,3397
1686855381,27.90,149,3397
1686855383,39.10,148,3397
1686855384,41.20,148,3397
1686855385,27.80,148,3397
1686855387,21.10,149,3397
1686855388,22.30,148,3397
1686855389,29.40,148,3397
1686855390,22.30,149,3397
1686855392,17.60,148,3397
1686855393,16.70,148,3397
1686855394,26.40,148,3397
1686855395,15.80,148,3397
1686855397,44.60,148,3397
1686855398,22.30,148,3397
1686855399,35.30,148,3397
1686855401,33.50,148,3397
1686855402,33.50,148,3397
1686855403,33.50,148,3397
1686855404,50.20,148,3397
1686855406,26.40,148,3397
1686855407,35.30,148,3397
1686855408,22.20,148,3397
1686855410,22.30,148,3397
1686855411,36.90,148,3397
1686855412,35.30,147,3397
1686855413,16.70,148,3397
1686855415,26.40,148,3397
1686855416,39.00,148,3397
1686855417,27.90,148,3397
1686855418,23.50,148,3397
1686855420,17.70,148,3397
