time,cpu,mem,storage
1686852274,23.50,82,1642
1686852275,23.50,82,1642
1686852276,22.30,82,1642
1686852278,29.40,82,1642
1686852279,29.40,82,1642
1686852280,16.70,82,1642
1686852281,23.50,82,1642
1686852283,27.90,82,1642
1686852284,16.80,82,1642
1686852285,17.60,82,1642
1686852286,15.80,82,1642
1686852288,23.50,82,1642
1686852289,29.40,82,1642
1686852290,22.30,82,1642
1686852292,35.30,82,1642
1686852293,22.30,82,1642
1686852294,23.50,82,1642
1686852295,23.50,82,1642
1686852297,21.10,82,1642
1686852298,23.50,81,1642
1686852299,21.10,82,1642
1686852301,11.80,82,1642
1686852302,21.10,82,1642
1686852303,23.50,82,1642
1686852304,31.70,82,1642
1686852306,21.10,81,1642
1686852307,26.40,81,1642
1686852308,10.50,81,1642
1686852309,16.70,81,1642
1686852311,15.80,81,1642
1686852312,22.30,82,1642
1686852313,15.80,81,1642
1686852315,23.50,81,1642
1686852316,23.50,82,1642
1686852317,11.10,81,1642
1686852318,16.70,82,1642
1686852320,26.40,82,1642
1686852321,23.60,81,1642
1686852322,33.50,82,1642
1686852324,29.40,82,1642
1686852325,23.50,82,1642
1686852326,23.50,82,1642
1686852327,15.80,82,1642
1686852329,17.60,82,1642
1686852330,11.10,82,1642
1686852331,17.60,82,1642
1686852332,21.10,82,1642
1686852334,23.50,82,1642
1686852335,22.30,82,1642
1686852336,11.10,82,1642
1686852338,22.30,82,1642
1686852339,17.60,82,1642
1686852340,11.10,82,1642
1686852341,22.30,82,1642
1686852343,23.60,82,1642
1686852344,16.70,82,1642
1686852345,22.30,82,1642
1686852346,17.70,82,1642
1686852348,26.40,82,1642
1686852349,22.30,82,1642
1686852350,10.50,82,1642
1686852352,22.30,82,1642
1686852353,10.50,81,1642
1686852354,11.80,81,1642
1686852355,17.70,81,1642
1686852357,16.70,82,1642
1686852358,16.70,82,1642
1686852359,16.70,82,1642
1686852361,16.70,82,1642
1686852362,16.70,82,1642
1686852363,29.40,82,1642
1686852364,27.80,82,1642
1686852366,16.70,82,1642
1686852367,17.70,82,1642
1686852368,21.10,82,1642
1686852369,11.80,82,1642
1686852371,23.60,82,1642
1686852372,17.60,81,1642
1686852373,16.70,82,1642
1686852375,17.60,82,1642
1686852376,23.50,82,1642
1686852377,27.80,82,1642
1686852378,16.70,82,1642
1686852380,17.70,82,1642
1686852381,17.60,82,1642
1686852382,16.70,82,1642
1686852383,23.50,81,1642
1686852385,22.30,82,1642
1686852386,16.70,81,1642
1686852387,17.60,82,1642
1686852389,17.60,82,1642
1686852390,16.70,82,1642
1686852391,26.40,82,1642
1686852392,16.70,82,1642
1686852394,33.50,82,1642
1686852395,17.60,82,1642
1686852396,11.80,82,1642
