time,cpu,mem,storage
1686854097,0.00,352,2082
1686854098,0.00,352,2082
1686854100,0.00,352,2082
1686854101,0.00,352,2082
1686854102,6.20,352,2082
1686854103,0.00,352,2082
1686854104,0.00,352,2082
1686854105,0.00,352,2082
1686854107,0.00,352,2082
1686854108,6.20,352,2082
1686854109,0.00,352,2082
1686854110,0.00,352,2082
1686854111,0.00,352,2082
1686854113,6.70,352,2082
1686854114,6.70,352,2082
1686854115,0.00,352,2082
1686854116,0.00,352,2082
1686854117,0.00,352,2082
1686854118,0.00,352,2082
1686854120,6.70,352,2082
1686854121,0.00,352,2082
1686854122,0.00,352,2082
1686854123,0.00,352,2082
1686854124,0.00,352,2082
1686854125,0.00,352,2082
1686854127,0.00,352,2082
1686854128,0.00,352,2082
1686854129,0.00,352,2082
1686854130,0.00,352,2082
1686854131,6.70,352,2082
1686854132,0.00,352,2082
1686854134,6.70,352,2082
1686854135,0.00,352,2082
1686854136,0.00,352,2082
1686854137,0.00,352,2082
1686854138,6.70,352,2082
1686854140,0.00,352,2082
1686854141,0.00,352,2082
1686854142,0.00,352,2082
1686854143,0.00,352,2082
1686854144,0.00,352,2082
1686854145,0.00,352,2082
1686854147,0.00,352,2082
1686854148,0.00,352,2082
1686854149,6.70,352,2082
1686854150,0.00,352,2082
1686854151,0.00,352,2082
1686854152,0.00,352,2082
1686854154,0.00,352,2082
1686854155,0.00,352,2082
1686854156,0.00,352,2082
1686854157,0.00,352,2082
1686854158,0.00,352,2082
1686854159,0.00,352,2082
1686854161,0.00,352,2082
1686854162,0.00,352,2082
1686854163,0.00,352,2082
1686854164,0.00,352,2082
1686854165,0.00,352,2082
1686854167,0.00,352,2082
1686854168,6.20,352,2082
1686854169,0.00,352,2082
1686854170,0.00,352,2082
1686854171,0.00,352,2082
1686854172,0.00,352,2082
1686854174,0.00,352,2082
1686854175,0.00,352,2082
1686854176,0.00,352,2082
1686854177,0.00,352,2082
1686854178,6.20,352,2082
1686854179,0.00,352,2082
1686854181,6.20,352,2082
1686854182,0.00,352,2082
1686854183,0.00,352,2082
1686854184,0.00,352,2082
1686854185,0.00,352,2082
1686854187,0.00,352,2082
1686854188,0.00,352,2082
1686854189,0.00,352,2082
1686854190,0.00,352,2082
1686854191,0.00,352,2082
1686854192,0.00,352,2082
1686854194,0.00,352,2082
1686854195,0.00,352,2082
1686854196,0.00,352,2082
1686854197,0.00,352,2082
1686854198,0.00,352,2082
1686854199,0.00,352,2082
1686854201,6.70,352,2082
1686854202,0.00,352,2082
1686854203,0.00,352,2082
1686854204,0.00,352,2082
1686854205,0.00,352,2082
1686854206,0.00,352,2082
1686854208,0.00,352,2082
1686854209,13.40,352,2082
1686854210,0.00,352,2082
1686854211,0.00,352,2082
1686854212,0.00,356,2082
1686854214,6.70,356,2082
1686854215,0.00,356,2082
1686854216,0.00,356,2082
1686854217,0.00,356,2082
1686854218,0.00,356,2082
1686854219,0.00,356,2082
1686854221,0.00,356,2082
1686854222,0.00,361,2082
1686854223,0.00,360,2082
1686854224,0.00,360,2082
1686854225,0.00,360,2082
1686854226,0.00,360,2082
1686854228,0.00,360,2082
1686854229,0.00,360,2082
1686854230,0.00,360,2082
1686854231,0.00,360,2082
1686854232,0.00,360,2082
1686854233,0.00,360,2082
1686854235,6.20,360,2082
1686854236,0.00,360,2082
1686854237,6.20,360,2082
1686854238,0.00,360,2082
1686854239,0.00,360,2082
1686854241,0.00,360,2082
1686854242,0.00,360,2082
1686854243,0.00,365,2082
1686854244,0.00,365,2082
1686854245,0.00,365,2082
1686854246,6.70,365,2082
1686854248,6.20,365,2082
1686854249,0.00,365,2082
1686854250,0.00,365,2082
1686854251,0.00,365,2082
1686854252,0.00,365,2082
1686854253,0.00,365,2082
1686854255,6.20,365,2082
1686854256,0.00,365,2082
1686854257,0.00,365,2082
1686854258,0.00,365,2082
1686854259,0.00,365,2082
1686854261,6.20,365,2082
1686854262,0.00,365,2082
1686854263,0.00,369,2082
1686854264,6.70,369,2082
1686854265,0.00,369,2082
1686854266,0.00,369,2082
1686854268,0.00,369,2082
1686854269,0.00,369,2082
1686854270,0.00,369,2082
1686854271,6.70,369,2082
1686854272,6.20,369,2082
1686854273,0.00,369,2082
1686854275,0.00,369,2082
1686854276,0.00,369,2082
1686854277,6.20,369,2082
